method,top1_accuracy,margin_median,margin_mean,n_runs,n_unknown_points,n_possible_combinations,requested_sampling_iterations,used_sampling_iterations,sampling_mode,sample_size,scenario,model_type,output_dir
single_cut_coassociation,1.0,0.0121212121212121,0.012065909090909,5000,20,167960,5000,5000,random_unique,11,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.2820809769557755,2.276462722594783,5000,20,125970,5000,5000,random_unique,12,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.5889142302020884,0.5895308638455181,5000,20,125970,5000,5000,random_unique,12,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.179020335664523,12.132169822078136,5000,20,125970,5000,5000,random_unique,12,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0118055555555555,0.0120097222222222,5000,20,125970,5000,5000,random_unique,12,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.285084819790118,2.2799964389290306,5000,20,77520,5000,5000,random_unique,13,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.5987193089583698,0.5992489177822279,5000,20,77520,5000,5000,random_unique,13,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.19026574259583,12.149561402722778,5000,20,77520,5000,5000,random_unique,13,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0121794871794871,0.011946923076923,5000,20,77520,5000,5000,random_unique,13,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.2878502570708057,2.283656578897107,5000,20,38760,5000,5000,random_unique,14,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.608308179365685,0.6094251573671204,5000,20,38760,5000,5000,random_unique,14,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.199263271141522,12.167793586819371,5000,20,38760,5000,5000,random_unique,14,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0119047619047619,0.0119094047619047,5000,20,38760,5000,5000,random_unique,14,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.29043591200735,2.286299842130435,5000,20,15504,5000,5000,random_unique,15,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.6159115949949175,0.6166165072281349,5000,20,15504,5000,5000,random_unique,15,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
