"dataset_size_pct","sample_size","feature_space","model","case","n_runs","margin_mean","margin_std","margin_median","true_positive_fraction"
"100","22","Coupled","agglomerative","negative","600","0.0781233204200084","0.06247540671326036","0.0688794520830952","0.0"
"100","22","Coupled","agglomerative","positive","600","0.4365620259784342","0.13378971006273582","0.42104579091454775","1.0"
"100","22","Coupled","gaussian","negative","600","0.0720752030554378","0.05199369412818176","0.06040556972730296","0.0"
"100","22","Coupled","gaussian","positive","600","0.37982102160713915","0.08404946017551262","0.39149890156094735","1.0"
"100","22","Coupled","kmeans","negative","600","0.10425803016169684","0.07225313760758977","0.094611268709968","0.0"
"100","22","Coupled","kmeans","positive","600","0.44161697928070726","0.12303561671780963","0.4090767969976625","1.0"
"100","25","Coupled","agglomerative","negative","600","0.07697835512510924","0.06352435202360779","0.06270226643456775","0.0"
"100","25","Coupled","agglomerative","positive","600","0.4439244881967005","0.13175134483327244","0.42620887158006754","1.0"
"100","25","Coupled","gaussian","negative","600","0.07108212874716613","0.052931630442452755","0.05830792647646656","0.0"
"100","25","Coupled","gaussian","positive","600","0.3885396573085495","0.08802120489022384","0.3929401355279605","1.0"
"100","25","Coupled","kmeans","negative","600","0.09869554768442385","0.07208286364783113","0.08918852193047036","0.0"
"100","25","Coupled","kmeans","positive","600","0.44469321320448957","0.12327978559972573","0.41294361389410883","1.0"
"100","4","Coupled","agglomerative","negative","600","0.12111383740100126","0.08744819182226439","0.1037920102594784","0.0"
"100","4","Coupled","agglomerative","positive","600","0.289468240314263","0.13840892343371725","0.2884829537958156","0.965"
"100","4","Coupled","gaussian","negative","600","0.04768323328735947","0.04423375205025952","0.029246105188885554","0.0"
"100","4","Coupled","gaussian","positive","600","0.2226585828380689","0.08251347573999604","0.23790132465834302","0.9833333333333333"
"100","4","Coupled","kmeans","negative","600","0.09900865549743602","0.07030405035298401","0.08892359094890778","0.0"
"100","4","Coupled","kmeans","positive","600","0.2814625421632334","0.1369484899157152","0.2722453948611844","0.9866666666666667"
"100","5","Coupled","agglomerative","negative","600","0.11652240286000257","0.08569093558903298","0.097157320459892","0.0"
"100","5","Coupled","agglomerative","positive","600","0.30687153274196927","0.13854328491973916","0.30073542279790333","0.9883333333333333"
"100","5","Coupled","gaussian","negative","600","0.05817827512751182","0.049356795474278736","0.0458446365222471","0.0"
"100","5","Coupled","gaussian","positive","600","0.24188993845142037","0.07937745941815182","0.2553529511397892","0.9866666666666667"
"100","5","Coupled","kmeans","negative","600","0.10632438651165171","0.07569200773144323","0.09657902269645335","0.0"
"100","5","Coupled","kmeans","positive","600","0.30172012383635133","0.13470497264793166","0.29042840169594786","0.9933333333333333"
"100","7","Coupled","agglomerative","negative","600","0.10919249061620562","0.08234889879901307","0.0911039717256669","0.0"
"100","7","Coupled","agglomerative","positive","600","0.34350679420100305","0.13603231548024308","0.3357646216269284","0.9983333333333333"
"100","7","Coupled","gaussian","negative","600","0.058148622527068705","0.04729588737583948","0.050098729919716006","0.0"
"100","7","Coupled","gaussian","positive","600","0.2749453454140001","0.07874501688259988","0.28884469374184724","0.9983333333333333"
"100","7","Coupled","kmeans","negative","600","0.10948520952886205","0.07265366357983849","0.10065113597064132","0.0"
"100","7","Coupled","kmeans","positive","600","0.342640067830397","0.13037162685470818","0.3243927500701004","0.9983333333333333"
"25","1","Coupled","agglomerative","negative","600","0.17996079161452286","0.11845872028292671","0.18063659600187823","0.0"
"25","1","Coupled","agglomerative","positive","600","0.30418940303346764","0.1344155711129636","0.29980105036181715","0.77"
"25","1","Coupled","gaussian","negative","600","0.09030113103519884","0.0685948523474446","0.07289279254708511","0.0"
"25","1","Coupled","gaussian","positive","600","0.1933869629729117","0.13420506951670044","0.15830274519976073","0.8216666666666667"
"25","1","Coupled","kmeans","negative","600","0.140009016070858","0.10121462425908316","0.11522626939658238","0.0"
"25","1","Coupled","kmeans","positive","600","0.2379131419162657","0.12422961212279757","0.24812900383100064","0.73"
"25","10","Coupled","agglomerative","negative","600","0.11321590225649408","0.08602868897597876","0.09870465701350656","0.0"
"25","10","Coupled","agglomerative","positive","600","0.4916853424411162","0.1623029960487302","0.4987587686976588","1.0"
"25","10","Coupled","gaussian","negative","600","0.10185946080022176","0.07978282629588139","0.08631213514556121","0.0"
"25","10","Coupled","gaussian","positive","600","0.4374114156641311","0.1371240375723182","0.4567529070655474","1.0"
"25","10","Coupled","kmeans","negative","600","0.10961324122183196","0.07872113339860352","0.09498795859177123","0.0"
"25","10","Coupled","kmeans","positive","600","0.4610332213821374","0.1339269655574796","0.4773965173427194","1.0"
"25","12","Coupled","agglomerative","negative","600","0.11032304044679338","0.08792818615414569","0.08571837499931856","0.0"
"25","12","Coupled","agglomerative","positive","600","0.50172272103855","0.16364557512412525","0.5105272547558124","1.0"
"25","12","Coupled","gaussian","negative","600","0.10577230768597984","0.08045068384685262","0.09533940670388957","0.0"
"25","12","Coupled","gaussian","positive","600","0.4544846740182368","0.1376370516338357","0.4727322640765693","1.0"
"25","12","Coupled","kmeans","negative","600","0.11580958148653153","0.08038705406129895","0.10072469335179779","0.0"
"25","12","Coupled","kmeans","positive","600","0.47119262655872746","0.13548172893395846","0.4937588116440004","1.0"
"25","15","Coupled","agglomerative","negative","600","0.11510824525387198","0.0909176604512125","0.0971551650364873","0.0"
"25","15","Coupled","agglomerative","positive","600","0.5091896085221713","0.16494638053792152","0.518664691655343","1.0"
"25","15","Coupled","gaussian","negative","600","0.10937067739745214","0.0813402616253622","0.09649415578560205","0.0"
"25","15","Coupled","gaussian","positive","600","0.4623046486020527","0.137604437657678","0.47834069591477024","1.0"
"25","15","Coupled","kmeans","negative","600","0.10865319474183989","0.07663395306542192","0.0957548747945475","0.0"
"25","15","Coupled","kmeans","positive","600","0.4811532830409124","0.1309177383265308","0.5017192918135018","1.0"
"25","18","Coupled","agglomerative","negative","600","0.10923282812202205","0.08882019960584368","0.08951771204703238","0.0"
"25","18","Coupled","agglomerative","positive","600","0.5161819519697319","0.16814812501543047","0.5313669547315499","1.0"
"25","18","Coupled","gaussian","negative","600","0.11368340092544817","0.08698269732532521","0.09880423625468543","0.0"
"25","18","Coupled","gaussian","positive","600","0.47480451518361927","0.1433362400713605","0.4920612365024443","1.0"
"25","18","Coupled","kmeans","negative","600","0.11677994809175925","0.08299246893690172","0.1029058944802892","0.0"
"25","18","Coupled","kmeans","positive","600","0.48189454584169483","0.13369981184665555","0.5015250962044795","1.0"
"25","2","Coupled","agglomerative","negative","600","0.17143027575337452","0.11867925937836442","0.14950979841367715","0.0"
"25","2","Coupled","agglomerative","positive","600","0.3534388870821864","0.16803146764009008","0.35788353424603336","0.9"
"25","2","Coupled","gaussian","negative","600","0.09434679221695969","0.06924930718467992","0.0788407768775137","0.0"
"25","2","Coupled","gaussian","positive","600","0.2801761950066729","0.14352436811970953","0.29495033081624156","0.9183333333333333"
"25","2","Coupled","kmeans","negative","600","0.12843546300794353","0.09580416898717871","0.10496752555103714","0.0"
"25","2","Coupled","kmeans","positive","600","0.2995452171538939","0.14163413578524087","0.3108465466531498","0.89"
"25","20","Coupled","agglomerative","negative","600","0.1105457190498595","0.08810913489263814","0.08939784453733783","0.0"
"25","20","Coupled","agglomerative","positive","600","0.5228816278125745","0.16259859454447095","0.5325015940664033","1.0"
"25","20","Coupled","gaussian","negative","600","0.10937671204897732","0.08162112754359284","0.09233754093023291","0.0"
"25","20","Coupled","gaussian","positive","600","0.4805443325129763","0.14095924239838573","0.5002380267538556","1.0"
"25","20","Coupled","kmeans","negative","600","0.11103388878081996","0.0804512433480976","0.09702172847443002","0.0"
"25","20","Coupled","kmeans","positive","600","0.4892767991487929","0.13192680891892256","0.5021589213475495","1.0"
"25","22","Coupled","agglomerative","negative","600","0.10140146377515082","0.07893409845188312","0.07835559434443773","0.0"
"25","22","Coupled","agglomerative","positive","600","0.5238399055576993","0.16552592445610545","0.5424437355830246","1.0"
"25","22","Coupled","gaussian","negative","600","0.11046036224723288","0.08348817063106484","0.09573144425423089","0.0"
"25","22","Coupled","gaussian","positive","600","0.4860564565477995","0.14304016849615153","0.5045062082530706","1.0"
"25","22","Coupled","kmeans","negative","600","0.11388155893958497","0.0806226801637169","0.09804954076208111","0.0"
"25","22","Coupled","kmeans","positive","600","0.4937063226261648","0.1286648183591033","0.516198590871534","1.0"
"25","25","Coupled","agglomerative","negative","600","0.10824300030976594","0.08791602527863057","0.07741076013341538","0.0"
"25","25","Coupled","agglomerative","positive","600","0.5265010657639315","0.16971755979212916","0.5447153765417582","1.0"
"25","25","Coupled","gaussian","negative","600","0.11141518821016641","0.08715729473562481","0.09646246156068414","0.0"
"25","25","Coupled","gaussian","positive","600","0.48974743976749785","0.14539247201165623","0.5049498619320176","1.0"
"25","25","Coupled","kmeans","negative","600","0.11380813617838595","0.08619716677396734","0.09689641274038308","0.0"
"25","25","Coupled","kmeans","positive","600","0.4938558803101884","0.13091613773499616","0.511665008031478","1.0"
"25","4","Coupled","agglomerative","negative","600","0.1510935491664764","0.10152459516476087","0.1327176468952325","0.0"
"25","4","Coupled","agglomerative","positive","600","0.4132630103230053","0.17279743820286533","0.42330746252680806","0.985"
"25","4","Coupled","gaussian","negative","600","0.09129184902200596","0.07577804509323675","0.06983128038011763","0.0"
"25","4","Coupled","gaussian","positive","600","0.3606271333176933","0.14241221997077388","0.37914802043093776","0.9766666666666667"
"25","4","Coupled","kmeans","negative","600","0.11790836900333442","0.08952120503107616","0.0936833076796937","0.0"
"25","4","Coupled","kmeans","positive","600","0.37211505454143584","0.14895820002621","0.39645441924561486","0.9883333333333333"
"25","5","Coupled","agglomerative","negative","600","0.13586031221768924","0.09825980112501015","0.11320366529678633","0.0"
"25","5","Coupled","agglomerative","positive","600","0.4378464324009878","0.16638107112338948","0.44478186119778024","0.9966666666666667"
"25","5","Coupled","gaussian","negative","600","0.0892841337914608","0.0712023692256286","0.07449518703391333","0.0"
"25","5","Coupled","gaussian","positive","600","0.3781074433953615","0.1319194942572561","0.39982700626356443","0.99"
"25","5","Coupled","kmeans","negative","600","0.12429345151098661","0.09086843747976654","0.10427894098445398","0.0"
"25","5","Coupled","kmeans","positive","600","0.4068841741664178","0.15184301408478745","0.4293205978056304","0.9933333333333333"
"25","7","Coupled","agglomerative","negative","600","0.12536486151503948","0.09707299615197494","0.10143956292822714","0.0"
"25","7","Coupled","agglomerative","positive","600","0.46316780525338375","0.16874974291100647","0.4762746003905998","1.0"
