"dataset_size_pct","sample_size","feature_space","model","source_class_key","case","n_runs","margin_mean","margin_std","margin_median","top1_true_fraction"
"100","15","Coupled","kmeans","VV","positive","100","0.37153123911233804","0.036823534394871967","0.3727743364958416","1.0"
"100","18","Coupled","agglomerative","AI","negative","100","0.07205691908490529","0.06530607424817576","0.05524211513925481","0.0"
"100","18","Coupled","agglomerative","AI","positive","100","0.4107645173420847","0.058338114346919545","0.41025093489118564","1.0"
"100","18","Coupled","agglomerative","EV","negative","100","0.15470445730805255","0.0591043170359482","0.12336449127338442","0.0"
"100","18","Coupled","agglomerative","EV","positive","100","0.6283754551120139","0.0712856501390852","0.6641824399752789","1.0"
"100","18","Coupled","agglomerative","PF","negative","100","0.08845171658509518","0.06245168252791025","0.07978864112900239","0.0"
"100","18","Coupled","agglomerative","PF","positive","100","0.24623251640697524","0.0395071161159175","0.2502776940360769","1.0"
"100","18","Coupled","agglomerative","PI","negative","100","0.04807025139491436","0.032486145486386994","0.038571144705090626","0.0"
"100","18","Coupled","agglomerative","PI","positive","100","0.5093931967533016","0.03030892476544705","0.5146289125669092","1.0"
"100","18","Coupled","agglomerative","RMP","negative","100","0.06437949474053556","0.043718545791693424","0.06348830793611374","0.0"
"100","18","Coupled","agglomerative","RMP","positive","100","0.4112346899731038","0.037212921617420146","0.41678863868368055","1.0"
"100","18","Coupled","agglomerative","VV","negative","100","0.047886062138427665","0.03488030442609151","0.0401579406258909","0.0"
"100","18","Coupled","agglomerative","VV","positive","100","0.3260301647625778","0.03555202298784003","0.33179636606236207","1.0"
"100","18","Coupled","gaussian","AI","negative","100","0.0696454784669232","0.04254769463384575","0.0610889951309217","0.0"
"100","18","Coupled","gaussian","AI","positive","100","0.33692187252579414","0.05105251594545394","0.33510378220524195","1.0"
"100","18","Coupled","gaussian","EV","negative","100","0.07807528765593318","0.05986481996519341","0.06947588457874719","0.0"
"100","18","Coupled","gaussian","EV","positive","100","0.457420377838513","0.03427548137763487","0.46014252564192293","1.0"
"100","18","Coupled","gaussian","PF","negative","100","0.06380009303861024","0.047936315390123385","0.05689317438251615","0.0"
"100","18","Coupled","gaussian","PF","positive","100","0.2280300034743061","0.04044469140621853","0.2258527888898557","1.0"
"100","18","Coupled","gaussian","PI","negative","100","0.05977978448079341","0.03763726164849186","0.0502903444654976","0.0"
"100","18","Coupled","gaussian","PI","positive","100","0.4368760346845826","0.028299204836362606","0.437945963942826","1.0"
"100","18","Coupled","gaussian","RMP","negative","100","0.028721617995390143","0.021530774606896688","0.02204008000342772","0.0"
"100","18","Coupled","gaussian","RMP","positive","100","0.3795297534355692","0.03947741697171728","0.38611030617455244","1.0"
"100","18","Coupled","gaussian","VV","negative","100","0.1242145586499363","0.04199749693681417","0.12333930846168556","0.0"
