"dataset_size_pct","sample_size","feature_space","model","integration_depth","target_precision","resolvedness_threshold","precision_above_threshold","coverage_above_threshold","n_runs_above_threshold","n_total_runs","n_valid_runs","n_eligible_classes","min_runs_above_threshold","common_depth_level"
"50","18","Coupled","agglomerative","9","0.95","0.3532774744597754","0.9511677282377919","0.3925","471","1200","1200","6","1","9"
"50","18","Coupled","gaussian","10","0.95","0.19054389920528236","0.9505582137161085","0.5225","627","1200","1200","6","1","10"
"50","18","Coupled","kmeans","10","0.95","0.2617268835174183","0.9506578947368421","0.5066666666666667","608","1200","1200","6","1","10"
"50","2","Coupled","agglomerative","9","0.95","0.5746735041052611","1.0","0.0125","15","1200","1200","6","1","9"
"50","2","Coupled","gaussian","10","0.95","0.23065525349220092","0.9607843137254902","0.2975","357","1200","1200","6","1","10"
"50","2","Coupled","kmeans","8","0.95","0.5551145553840341","0.9550561797752809","0.07416666666666667","89","1200","1200","6","1","8"
"50","20","Coupled","agglomerative","9","0.95","0.34394459269592953","0.9501039501039501","0.4008333333333333","481","1200","1200","6","1","9"
"50","20","Coupled","gaussian","10","0.95","0.19039920535991126","0.9507936507936507","0.525","630","1200","1200","6","1","10"
"50","20","Coupled","kmeans","10","0.95","0.25634198502704464","0.9509001636661211","0.5091666666666667","611","1200","1200","6","1","10"
"50","22","Coupled","agglomerative","9","0.95","0.3624074643622469","0.9501133786848073","0.3675","441","1200","1200","6","1","9"
"50","22","Coupled","gaussian","10","0.95","0.18845007020477533","0.9507936507936507","0.525","630","1200","1200","6","1","10"
"50","22","Coupled","kmeans","10","0.95","0.25428591295419434","0.9514563106796117","0.515","618","1200","1200","6","1","10"
"50","25","Coupled","agglomerative","9","0.95","0.3354762351843352","0.9513184584178499","0.41083333333333333","493","1200","1200","6","1","9"
"50","25","Coupled","gaussian","10","0.95","0.21036875369689123","0.9507936507936507","0.525","630","1200","1200","6","1","10"
"50","25","Coupled","kmeans","10","0.95","0.2473912589337539","0.9503205128205128","0.52","624","1200","1200","6","1","10"
"50","4","Coupled","agglomerative","9","0.95","0.34156301210804435","0.9526627218934911","0.2816666666666667","338","1200","1200","6","1","9"
"50","4","Coupled","gaussian","10","0.95","0.2135086885330969","0.9518072289156626","0.415","498","1200","1200","6","1","10"
"50","4","Coupled","kmeans","9","0.95","0.3605758784180921","0.9504643962848297","0.26916666666666667","323","1200","1200","6","1","9"
"50","5","Coupled","agglomerative","9","0.95","0.32812091829632195","0.9512195121951219","0.3416666666666667","410","1200","1200","6","1","9"
"50","5","Coupled","gaussian","9","0.95","0.23272197729136085","0.9515503875968992","0.43","516","1200","1200","6","1","9"
"50","5","Coupled","kmeans","9","0.95","0.3053189611005672","0.9506726457399103","0.37166666666666665","446","1200","1200","6","1","9"
"50","7","Coupled","agglomerative","9","0.95","0.33630806825890447","0.9502262443438914","0.36833333333333335","442","1200","1200","6","1","9"
"50","7","Coupled","gaussian","10","0.95","0.2018087125826828","0.9511754068716094","0.4608333333333333","553","1200","1200","6","1","10"
"50","7","Coupled","kmeans","9","0.95","0.2945535468636495","0.9511201629327902","0.4091666666666667","491","1200","1200","6","1","9"
"75","1","Coupled","agglomerative","10","0.95","0.5127862726691338","0.9682539682539683","0.0525","63","1200","1200","6","1","10"
"75","1","Coupled","gaussian","10","0.95","0.2821694871967174","0.9629629629629629","0.1125","135","1200","1200","6","1","10"
"75","1","Coupled","kmeans","10","0.95","0.4474208064264881","0.9649122807017544","0.0475","57","1200","1200","6","1","10"
"75","10","Coupled","agglomerative","10","0.95","0.30115450228154034","0.9509090909090909","0.4583333333333333","550","1200","1200","6","1","10"
"75","10","Coupled","gaussian","10","0.95","0.2037141482773691","0.9504273504273504","0.4875","585","1200","1200","6","1","10"
"75","10","Coupled","kmeans","11","0.95","0.2660737239958943","0.9504761904761905","0.4375","525","1200","1200","6","1","11"
"75","12","Coupled","agglomerative","10","0.95","0.2897240698272609","0.9501718213058419","0.485","582","1200","1200","6","1","10"
